api_type,frontend_type,backend_tag,frontend_tag,submenu
tea_house,Salon de Thé,excluded,excluded,excluded
korean_barbecue_restaurant,Barbecue Coréen,single_dish_specialist,Spécialité,Grillades et viandes
mongolian_barbecue_restaurant,Barbecue Mongol,single_dish_specialist,Spécialité,Grillades et viandes
yakiniku_restaurant,Yakiniku,single_dish_specialist,Spécialité,Grillades et viandes
barbecue_restaurant,Barbecue,single_dish_specialist,Spécialité,Grillades et viandes
yakitori_restaurant,Yakitori,single_dish_specialist,Spécialité,Grillades et viandes
soul_food_restaurant,Soul Food,single_dish_specialist,Spécialité,Grillades et viandes
steak_house,Steaks House,single_dish_specialist,Spécialité,Grillades et viandes
chicken_restaurant,Poulet,single_dish_specialist,Spécialité,Grillades et viandes
chicken_wings_restaurant,Chicken Wings,single_dish_specialist,Spécialité,Grillades et viandes
tonkatsu_restaurant,Tonkatsu,single_dish_specialist,Spécialité,Grillades et viandes
israeli_restaurant,Israélien,regional_gastronomy,Cuisines du monde,Moyen-Orient
lebanese_restaurant,Libanais,regional_gastronomy,Cuisines du monde,Moyen-Orient
persian_restaurant,Persan,regional_gastronomy,Cuisines du monde,Moyen-Orient
turkish_restaurant,Turc,regional_gastronomy,Cuisines du monde,Moyen-Orient
chinese_noodle_restaurant,Nouilles Chinoises,single_dish_specialist,Spécialité,Nouilles et soupes
japanese_curry_restaurant,Curry Japonais,single_dish_specialist,Spécialité,Nouilles et soupes
noodle_shop,Nouilles,single_dish_specialist,Spécialité,Nouilles et soupes
ramen_restaurant,Ramens,single_dish_specialist,Spécialité,Nouilles et soupes
soup_restaurant,Soupes,single_dish_specialist,Spécialité,Nouilles et soupes
australian_restaurant,Australien,regional_gastronomy,Cuisines du monde,Océanie
bakery,Boulangerie,place_type,Type d'établissement,Pas de submenu
halal_restaurant,Halal,regime_particulier,Régime particulier,Pas de submenu
vegan_restaurant,Végan,regime_particulier,Régime particulier,Pas de submenu
vegetarian_restaurant,Végétarien,regime_particulier,Régime particulier,Pas de submenu
bistro,Bistrot,place_type,Type d'établissement,Pas de submenu
brunch_restaurant,Brunch,place_type,Type d'établissement,Pas de submenu
buffet_restaurant,Buffet,place_type,Type d'établissement,Pas de submenu
cafeteria,Cafétéria,place_type,Type d'établissement,Pas de submenu
diner,Diner,place_type,Type d'établissement,Pas de submenu
family_restaurant,Familial,place_type,Type d'établissement,Pas de submenu
fast_food_restaurant,Restauration Rapide,place_type,Type d'établissement,Pas de submenu
